,precision,recall,f1-score,support
0,0.9836065573770492,1.0,0.9917355371900827,60.0
1,0.912987012987013,0.9763888888888889,0.9436241610738255,720.0
2,0.9367088607594937,0.9866666666666667,0.961038961038961,750.0
3,0.9301310043668122,0.9466666666666667,0.9383259911894273,450.0
4,0.9859154929577465,0.9545454545454546,0.9699769053117783,660.0
5,0.9157392686804452,0.9142857142857143,0.9150119142176331,630.0
6,0.9290780141843972,0.8733333333333333,0.9003436426116839,150.0
7,0.9308176100628931,0.9866666666666667,0.9579288025889967,450.0
8,0.9776785714285714,0.9733333333333334,0.9755011135857461,450.0
9,0.931640625,0.99375,0.9616935483870968,480.0
10,0.9666666666666667,0.9666666666666667,0.9666666666666667,660.0
11,0.9672897196261683,0.9857142857142858,0.9764150943396226,420.0
12,0.9851632047477745,0.9623188405797102,0.9736070381231672,690.0
13,0.9929775280898876,0.9819444444444444,0.9874301675977654,720.0
14,0.992619926199262,0.9962962962962963,0.9944547134935305,270.0
15,0.9857142857142858,0.9857142857142858,0.9857142857142858,210.0
16,0.9612903225806452,0.9933333333333333,0.9770491803278688,150.0
17,0.994475138121547,1.0,0.997229916897507,360.0
18,0.9382352941176471,0.8179487179487179,0.873972602739726,390.0
19,0.9836065573770492,1.0,0.9917355371900827,60.0
20,0.7606837606837606,0.9888888888888889,0.8599033816425121,90.0
21,0.8813559322033898,0.5777777777777777,0.697986577181208,90.0
22,0.9752066115702479,0.9833333333333333,0.979253112033195,120.0
23,0.8156424581005587,0.9733333333333334,0.8875379939209727,150.0
24,0.875,0.9333333333333333,0.9032258064516129,90.0
25,0.9630390143737166,0.9770833333333333,0.9700103412616339,480.0
26,0.9050279329608939,0.9,0.9025069637883009,180.0
27,0.7777777777777778,0.35,0.4827586206896552,60.0
28,0.9731543624161074,0.9666666666666667,0.9698996655518395,150.0
29,0.9655172413793104,0.9333333333333333,0.9491525423728814,90.0
30,0.9454545454545454,0.6933333333333334,0.8,150.0
31,0.8725490196078431,0.9888888888888889,0.9270833333333334,270.0
32,0.9411764705882353,0.8,0.8648648648648649,60.0
33,0.976303317535545,0.9809523809523809,0.9786223277909739,210.0
34,0.975,0.975,0.975,120.0
35,0.9973190348525469,0.9538461538461539,0.9750982961992136,390.0
36,0.904,0.9416666666666667,0.9224489795918367,120.0
37,0.9230769230769231,1.0,0.96,60.0
38,0.9762962962962963,0.9550724637681159,0.9655677655677656,690.0
39,0.9666666666666667,0.9666666666666667,0.9666666666666667,90.0
40,0.7272727272727273,0.6222222222222222,0.6706586826347305,90.0
41,1.0,0.7666666666666667,0.8679245283018868,60.0
42,0.975609756097561,0.8888888888888888,0.9302325581395349,90.0
accuracy,0.9498812351543943,0.9498812351543943,0.9498812351543943,0.9498812351543943
macro avg,0.9366388723246515,0.9165704169066149,0.9219967160062806,12630.0
weighted avg,0.9504977679990709,0.9498812351543943,0.9485594254980141,12630.0
